_candidate_id,_candidate_name,*race,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
0,Vicki Alvarado,White,38,38,26,6,6,30,17,30,38,17,30,18,17,38,30,30,30,35,14,17,30,17,17,38,30,17,17,30,30,17,30,26,17,30,38,17,30,30,17,30,38,17,6,30,30,30,30,30,30,30,38,38,38,38,17,6,8,17,38,30,8,30,6,17,38,17,17,30,30,8,17,38,8,17,17,38,38,17,30,17,30,8,17,38,38,30,30,17,38,30,38,17,30,8,38,6,30,38,17,17,30,14,17,30,6,17,17,17,30,30,17,38,30,30,30,30,38,17,38,30,38,30,30,38,30,6,17,30,17,6,30,26,6,17,6,38,17,17,30,17,6,30,14,38,38,30,17,17,17,17
1,Lori Daniels,White,17,17,17,17,17,6,35,6,17,6,6,17,38,17,39,6,6,8,8,38,39,6,6,17,6,6,6,39,6,26,6,17,38,39,17,6,6,6,38,39,17,38,38,6,39,39,6,39,6,6,17,17,17,17,38,17,14,6,17,39,35,6,17,38,17,38,26,6,6,14,26,6,14,6,38,17,17,26,6,6,6,14,6,17,17,6,6,26,17,6,26,38,6,14,17,38,6,17,26,6,6,8,38,6,26,38,38,38,6,6,6,17,6,6,6,6,17,6,17,6,17,6,39,6,6,38,38,6,26,17,6,17,17,6,17,6,6,38,6,26,17,6,8,17,17,6,26,6,6,38
2,Sarah Hall,White,26,6,38,38,0,39,26,39,26,26,39,21,26,6,6,39,39,14,35,26,6,26,7,26,39,26,26,6,39,6,39,6,26,6,26,26,39,39,26,6,26,26,17,39,6,3,39,6,21,39,26,26,26,26,26,38,35,26,26,6,14,39,18,26,26,26,38,21,39,35,6,17,37,26,26,26,6,38,39,26,39,37,26,26,26,39,39,6,26,39,17,26,39,35,10,17,39,26,38,26,39,35,26,39,17,6,26,6,39,39,26,26,39,39,39,39,26,26,26,39,26,39,6,17,39,17,26,39,6,38,39,6,38,26,26,26,26,26,39,6,38,39,35,26,26,39,38,38,38,26
3,Misty Lewis,White,6,26,6,26,18,3,6,3,21,7,21,10,6,26,38,3,3,10,28,6,3,38,30,21,3,38,38,9,7,38,3,38,6,3,21,38,3,1,21,3,21,6,21,1,38,6,3,3,39,3,6,21,21,21,6,26,28,38,21,22,28,3,26,21,10,10,6,39,3,10,38,10,35,10,6,21,26,6,21,38,3,35,38,21,21,3,9,38,6,21,6,6,3,37,26,26,3,21,6,38,3,37,6,3,38,26,6,26,3,3,38,21,3,26,3,3,6,38,21,7,6,21,3,26,21,21,6,21,38,26,38,38,26,38,38,17,10,6,3,38,26,21,10,6,21,3,6,26,26,21
4,Melissa Evans,White,10,10,21,10,26,7,38,7,10,21,9,6,10,10,3,26,1,28,10,10,38,10,21,6,24,10,7,32,38,7,7,7,10,38,6,10,7,3,10,9,6,10,26,7,32,7,7,22,9,7,10,6,6,6,10,10,10,10,10,3,37,1,38,6,6,21,10,9,1,28,10,26,10,38,21,6,10,10,9,10,1,10,21,6,10,7,21,10,21,9,10,21,7,10,6,35,24,6,10,10,1,10,10,26,7,10,10,21,7,7,0,6,38,21,22,1,10,10,6,3,10,9,38,21,9,26,21,9,7,10,3,35,21,10,7,21,38,21,7,0,7,9,28,21,10,26,10,21,21,10
5,Diana Martinez,White,21,21,10,21,38,26,21,38,6,24,14,7,21,21,22,24,24,26,37,21,32,7,18,10,1,7,10,22,3,21,1,0,21,32,10,21,38,7,6,32,10,21,10,3,21,38,1,9,20,38,21,10,10,7,21,21,37,30,6,21,10,24,0,10,21,6,21,14,7,37,21,21,28,30,10,10,21,7,14,21,7,28,10,10,6,38,3,7,10,14,21,10,1,26,21,21,1,10,21,7,7,28,21,22,21,21,21,35,26,1,24,10,26,3,32,26,21,30,10,38,21,22,7,10,3,10,10,22,39,21,32,7,10,7,0,10,30,10,26,24,0,14,37,10,6,22,21,10,0,7
6,Tim Hicks,White,39,18,35,30,7,1,0,26,30,0,20,39,7,0,32,38,26,20,26,30,22,30,0,39,26,30,21,21,26,0,26,21,39,26,7,30,26,26,0,22,35,39,35,26,22,26,38,32,22,1,39,39,7,10,30,30,0,18,7,32,20,26,39,7,35,7,30,22,38,26,30,0,16,18,30,7,39,30,22,7,24,26,30,39,39,1,14,30,35,22,39,39,26,28,39,0,26,39,7,30,24,0,39,38,0,39,7,10,1,22,7,39,22,1,24,24,39,7,7,26,30,26,26,35,14,35,39,3,30,35,22,21,0,30,10,35,18,7,38,7,10,22,20,39,7,24,30,35,7,6
7,Jessica Diaz,White,0,39,30,35,21,38,7,1,39,35,10,3,30,39,26,22,38,39,20,7,26,21,39,30,7,21,0,38,21,24,0,35,30,22,0,7,1,38,35,21,0,7,7,21,9,1,26,21,14,22,7,7,30,39,7,18,20,21,30,38,0,38,10,30,39,39,7,10,32,20,0,35,26,7,7,39,30,21,26,0,26,16,18,30,30,26,22,21,0,20,0,7,21,6,0,10,38,30,30,18,26,20,30,21,35,30,39,0,38,26,18,35,1,22,21,7,7,18,39,21,18,14,10,0,22,0,30,14,10,30,26,0,7,18,30,0,21,30,1,39,21,20,26,18,39,1,7,7,35,18
8,Juan Estrada,Hispanic,7,30,7,18,39,24,10,32,7,39,3,30,39,35,9,1,7,0,24,18,9,18,26,7,38,18,30,3,14,35,38,24,7,24,39,18,22,22,7,24,7,30,30,22,26,10,32,38,26,26,0,30,39,30,39,39,16,7,18,9,12,7,7,39,0,18,39,20,26,39,39,39,39,21,39,30,18,18,32,30,22,6,0,7,7,32,26,18,39,10,7,30,22,20,35,7,7,7,39,21,32,7,7,1,3,0,30,3,22,38,21,30,24,38,9,38,30,21,30,14,7,3,1,7,26,30,7,26,0,39,24,3,18,21,39,30,39,39,10,21,30,10,6,30,30,38,39,0,10,39
9,Kathy Mcdowell,White,35,0,0,39,30,32,3,0,18,38,22,26,18,30,21,32,22,12,39,39,14,39,38,35,22,39,39,24,1,39,22,39,18,9,30,39,0,21,39,25,39,0,0,0,0,24,22,24,10,21,30,18,18,0,18,35,7,39,39,24,24,22,30,18,7,30,0,26,24,0,7,30,30,39,18,18,7,39,38,35,32,24,7,18,35,22,24,39,30,24,30,18,38,16,7,24,22,18,0,39,38,16,18,7,10,18,18,7,32,32,39,7,32,7,25,0,18,39,18,1,39,10,14,30,10,39,18,24,21,0,9,10,39,39,18,39,7,18,21,18,18,24,11,7,18,21,18,39,39,30
