*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140
Native,college,standard,completed,0,Maggie Mccullough,32,50,14,44,32,7,30,44,23,30,44,32,50,7,50,50,50,33,32,23,33,50,58,23,14,23,59,30,30,50,44,14,50,44,7,50,32,33,32,14,44,14,14,33,33,14,58,23,50,7,54,11,59,56,54,54,56,27,50,20,11,54,32,20,59,20,17,38,38,48,54,56,11,20,17,20,38,26,38,56,38,56,11,11,59,54,59,50,11,38,20,59,38,56,20,56,59,59,59,20,20,20,47,20,11,17,17,38,50,32,17,38,11,38,48,48,17,32,17,59,32,59,38,16,21,15,15,17,59,59,48,32,59,59,59,17,16,51,31,41
Native,school,free/reduced,completed,1,Cloe Lester,30,14,32,14,44,23,23,23,50,14,50,33,30,33,32,14,14,14,7,14,32,30,33,33,23,30,50,38,14,32,14,44,32,50,32,38,14,50,44,33,32,50,49,50,23,7,33,7,44,30,46,56,20,54,20,50,11,59,17,48,56,38,20,27,32,50,59,59,20,32,56,59,38,56,20,32,54,54,54,48,59,48,59,32,5,17,27,54,54,17,32,54,56,48,11,59,54,11,11,17,59,38,20,17,32,15,47,11,7,20,47,20,17,48,17,59,32,17,41,32,17,11,32,17,59,48,11,11,48,15,11,48,11,32,17,48,48,57,15,4
Native,bachelor,free/reduced,none,2,Jasiah Nash,14,32,23,20,30,14,32,50,7,50,30,14,44,50,30,23,32,59,23,32,14,32,7,44,50,14,14,14,44,14,7,23,44,58,30,44,33,14,50,44,23,7,50,14,14,23,32,32,33,50,20,46,17,27,17,38,17,56,11,17,48,11,11,59,11,27,11,20,32,20,48,38,17,11,59,17,17,17,20,38,11,20,54,20,17,56,11,27,20,54,56,20,11,54,54,48,38,54,48,38,50,32,50,15,17,32,38,59,32,50,38,59,7,16,32,15,59,41,59,38,48,15,17,32,17,32,32,38,11,38,59,59,48,48,32,15,15,39,6,19
Black,master's,free/reduced,none,3,Ty Peck,23,7,50,33,50,58,14,14,14,44,32,50,33,23,7,32,44,50,14,44,58,14,44,14,33,44,33,23,9,7,50,30,14,32,50,20,7,44,33,38,14,33,7,23,49,32,30,30,7,58,56,59,11,32,59,17,38,20,20,54,17,20,54,11,54,11,48,56,48,54,11,54,59,54,48,59,11,20,59,11,54,59,20,38,38,20,32,59,56,11,38,56,54,59,56,20,48,38,17,56,17,47,59,32,20,11,59,20,41,7,20,47,59,15,59,17,11,38,32,11,38,38,48,48,16,38,16,59,15,48,38,11,15,41,11,11,38,55,58,40
Native,bachelor,standard,completed,4,Memphis Acosta,50,30,58,30,33,30,44,33,30,32,14,20,14,32,14,33,7,58,33,33,20,23,14,32,30,33,41,33,33,44,23,7,20,30,14,32,50,32,30,30,50,32,33,7,30,44,14,21,30,14,38,17,56,11,56,46,20,54,54,56,38,59,48,17,20,54,38,48,54,27,20,11,56,38,56,38,20,11,56,59,20,54,50,56,11,14,26,11,38,20,48,11,27,5,32,54,56,20,32,11,32,17,32,50,59,59,20,50,38,59,11,48,16,32,16,38,16,11,48,15,15,32,59,38,32,11,59,32,41,32,15,16,16,17,46,38,32,2,34,30
Native,associate,standard,none,5,Taylor Landry,33,49,30,50,23,33,33,21,32,38,7,44,32,30,44,44,20,30,20,30,50,20,50,30,32,50,44,32,20,33,38,32,33,14,33,23,44,30,23,50,33,44,44,32,32,50,50,50,32,32,11,38,27,59,11,56,59,11,48,59,54,56,56,54,56,56,20,54,56,56,59,48,32,50,54,11,26,50,17,20,17,38,38,59,56,46,20,20,59,50,54,38,59,20,59,11,11,32,56,50,38,11,17,38,50,20,50,47,59,17,32,15,46,17,41,11,38,7,11,17,59,16,7,46,7,59,17,48,32,11,13,41,17,16,41,41,59,37,3,18
Black,college,standard,none,6,Jaqueline Macias,41,33,44,1,38,50,50,30,33,20,58,30,58,38,23,30,30,32,44,38,44,21,32,21,49,7,7,7,32,38,32,49,23,33,20,30,30,7,14,58,30,20,32,30,7,59,23,33,23,33,55,20,38,38,27,59,48,32,38,14,20,48,27,46,50,59,56,50,11,38,50,5,54,59,11,56,59,32,11,54,32,11,56,48,54,48,54,56,50,5,11,32,20,11,17,17,26,56,27,54,48,59,48,48,38,50,11,32,11,15,50,50,52,7,15,13,15,52,7,16,13,50,11,15,48,17,52,41,17,58,21,15,46,45,7,32,11,40,52,42
White,associate,standard,none,7,Sophie Castro,49,58,7,49,14,32,38,59,9,23,33,9,38,25,33,49,1,13,9,50,23,33,1,50,7,32,30,50,38,20,30,59,7,59,23,14,20,38,21,59,20,16,30,44,50,33,59,44,14,16,50,5,50,20,50,48,46,26,27,11,14,50,59,32,27,38,55,26,26,59,38,55,48,48,32,14,12,5,55,21,56,50,17,55,50,13,56,49,17,26,59,17,48,32,50,32,20,46,54,49,11,50,7,11,15,41,16,48,20,48,7,11,38,50,38,32,48,15,16,48,16,41,46,18,11,7,7,15,38,17,32,38,13,52,38,59,41,1,36,7
Black,college,standard,none,8,Miriam Orozco,7,44,33,21,58,21,20,38,2,33,9,7,7,58,20,59,21,49,30,9,7,59,30,41,9,1,20,20,7,2,9,50,30,23,44,59,49,21,20,7,59,13,9,38,59,21,7,16,20,20,17,54,54,50,32,14,54,52,5,38,59,17,46,38,38,49,27,13,5,49,46,32,55,32,27,54,14,48,27,27,46,27,48,50,48,5,14,46,27,46,17,46,26,50,27,46,55,17,38,5,47,41,38,59,52,38,48,46,14,41,59,17,32,59,11,58,21,46,38,58,11,17,21,21,52,21,41,16,7,41,46,7,38,38,48,50,17,56,54,32
Native,school,free/reduced,none,9,Princess Barry,59,23,41,58,20,59,21,2,59,58,23,23,49,59,38,7,23,20,50,7,38,7,41,7,58,21,9,44,41,30,41,20,58,7,21,9,59,23,9,32,39,23,59,59,21,30,38,39,59,21,27,26,32,26,46,11,49,48,46,55,50,46,17,48,17,17,54,17,17,17,32,20,20,17,46,55,55,59,5,46,48,32,32,17,26,11,38,38,48,48,50,27,55,52,26,41,5,50,55,32,15,7,15,46,46,47,32,16,45,11,21,32,15,52,21,7,46,48,50,46,52,13,41,7,15,13,21,46,13,50,16,58,32,15,16,16,46,5,8,31
