_candidate_id,_candidate_name,*race,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
0,Vicki Alvarado,White,10,38,14,14,14,14,11,38,33,33,33,14,33,14,38,14,14,38,33,33,14,33,30,14,38,11,33,33,33,33,33,38,14,33,38,11,38,38,38,14,38,38,33,33,33,33,38,14,14,14,14,30,38,38,14,33,10,14,30,38,38,38,33,30,14,33,1,33,33,14,38,14,14,14,14,33,14,14,33,14,14,14,33,13,14,33,38,14,14,30,38,14,30,14,33,33,38,14,38,38,14,33,38,14,14,33,38,33,38,38,38,33,38,38,14,30,38,14,33,13,10,33,33,33,10,30,1,14,33,38,14,14,33,38,14,14,30,33,30,38,33,38,14,14,14,38,30,33,14,14
1,Lori Daniels,Black,33,16,23,11,23,23,33,16,10,10,1,11,11,1,16,1,11,30,11,1,11,10,38,11,30,33,10,10,10,10,10,30,23,11,30,33,30,13,13,1,30,30,11,10,10,11,20,11,1,23,1,38,13,16,23,11,33,23,38,16,13,30,10,38,11,11,33,11,10,7,20,1,15,1,11,10,11,1,11,1,1,1,10,38,11,11,13,11,11,13,30,11,0,7,12,11,30,11,16,30,23,10,30,11,11,11,30,11,30,13,16,11,13,30,1,38,30,11,10,38,33,11,10,10,11,16,10,1,11,16,11,11,1,20,1,11,38,11,38,30,10,16,1,11,11,30,13,10,1,11
2,Sarah Hall,White,11,31,9,23,11,1,1,30,1,1,10,1,1,15,13,11,23,32,10,10,1,11,23,1,13,1,11,11,1,11,11,6,11,10,13,10,13,30,30,11,9,13,1,1,11,10,23,23,11,1,15,13,20,13,11,10,1,11,16,31,30,9,11,32,1,1,10,10,11,23,13,11,1,11,23,11,1,11,0,11,11,15,11,6,23,1,6,23,7,38,13,1,38,23,11,1,13,23,13,9,1,11,9,9,23,10,9,10,13,6,13,19,20,13,11,13,13,1,11,30,11,10,1,11,33,38,11,23,10,31,9,23,10,13,11,1,13,10,16,9,1,13,15,23,1,16,38,11,15,23
3,Misty Lewis,White,1,30,1,1,7,9,10,31,12,11,12,15,10,11,20,23,9,20,1,11,15,1,9,0,23,10,1,1,11,1,1,20,9,1,9,1,20,16,20,24,23,16,10,11,1,12,13,9,24,9,11,9,9,9,9,1,11,7,31,30,20,23,12,13,0,10,23,1,27,11,2,15,11,24,9,1,0,15,26,15,15,11,12,9,0,10,20,9,28,0,9,0,13,11,19,10,7,9,9,32,9,1,13,23,9,0,32,1,20,9,23,10,9,23,15,7,9,9,1,6,1,19,11,1,1,31,33,9,1,9,23,1,11,19,35,15,20,1,31,23,11,9,11,0,0,31,0,1,11,9
4,Melissa Evans,Asian,12,9,7,9,0,7,12,13,11,12,11,9,12,28,30,0,0,23,12,27,28,12,20,23,9,12,12,12,12,12,12,23,1,12,23,12,9,9,6,15,13,9,12,12,12,1,2,28,15,11,28,7,30,20,1,12,12,0,27,9,16,32,0,9,15,12,37,12,1,28,19,35,28,15,1,12,28,35,1,24,28,28,1,2,9,12,23,0,9,16,8,23,16,28,1,12,20,0,20,23,7,12,23,1,28,19,27,26,9,2,6,27,30,16,28,20,7,23,12,16,12,0,12,12,12,27,12,7,12,30,1,9,12,9,15,23,6,12,27,13,12,6,35,9,23,27,16,27,9,1
5,Diana Martinez,White,27,27,34,0,18,34,27,23,27,27,27,28,3,9,6,9,28,13,3,12,9,26,7,15,20,37,27,26,27,26,37,13,15,0,27,27,7,6,0,35,20,31,3,27,37,0,30,1,23,7,30,32,16,6,15,27,27,18,23,23,6,13,27,23,28,3,12,0,0,9,9,21,24,28,0,23,15,24,12,35,23,9,37,30,18,27,16,15,23,6,16,28,1,9,10,3,27,28,6,27,34,37,27,15,1,37,23,23,7,20,20,0,27,6,35,27,20,15,27,9,26,12,0,27,0,13,27,11,19,23,15,0,29,2,9,28,0,27,13,27,27,23,28,1,28,6,2,12,21,0
6,Tim Hicks,White,0,23,11,15,9,11,3,9,37,37,29,23,37,35,1,15,18,6,27,37,23,27,13,24,27,26,37,0,26,27,27,9,28,26,32,26,23,20,16,9,19,6,0,37,27,26,6,0,0,34,23,23,2,23,28,37,29,9,13,13,23,20,1,27,27,27,27,26,12,0,6,28,9,0,18,26,23,28,10,0,9,35,0,32,1,37,30,28,0,1,20,15,6,0,26,27,9,7,23,13,11,0,7,34,34,12,0,0,23,32,9,12,6,20,32,9,6,0,37,20,0,27,27,37,26,9,29,34,26,27,0,18,27,30,24,9,16,37,20,16,26,20,9,18,27,13,19,0,35,35
7,Jessica Diaz,Hispanic,3,13,27,18,28,27,26,27,26,26,0,0,27,32,9,18,15,9,37,26,0,37,6,27,7,0,26,27,37,37,3,35,0,3,20,37,27,2,19,21,7,27,26,26,3,3,27,15,28,33,32,34,19,30,0,26,0,28,9,27,1,27,19,20,23,37,32,19,26,18,30,9,0,23,12,0,27,21,19,18,24,21,27,19,12,3,27,18,18,26,31,27,20,18,0,37,32,18,30,0,27,26,19,0,0,26,13,12,27,16,1,1,23,1,21,32,23,28,26,1,27,1,26,3,27,20,26,12,27,13,28,15,0,6,21,0,1,26,23,19,0,30,21,28,24,23,32,26,28,12
8,Juan Estrada,Hispanic,26,34,33,28,15,33,29,20,19,29,23,18,0,21,23,28,7,35,26,23,18,0,27,28,35,27,0,3,23,0,26,32,18,27,7,0,19,32,2,32,27,35,27,0,26,37,1,34,18,12,24,6,6,27,18,29,26,27,20,34,27,16,26,7,24,29,11,27,23,15,23,24,30,17,34,27,32,0,3,33,0,32,26,20,34,29,1,34,15,2,23,32,32,15,32,26,23,15,1,16,4,27,20,28,15,27,16,27,19,19,30,26,7,2,9,23,34,35,29,2,3,29,29,26,9,1,3,33,0,34,18,28,19,16,33,18,7,3,35,7,37,1,32,15,15,20,6,19,24,34
9,Kathy Mcdowell,Asian,29,0,15,35,27,20,37,35,0,3,37,35,26,30,2,24,1,27,29,0,35,3,32,18,16,29,23,37,0,23,0,7,7,37,16,32,35,23,9,28,32,20,37,23,0,27,19,7,32,15,9,20,7,1,7,0,3,15,6,20,9,7,37,6,18,26,26,29,19,27,7,18,21,9,35,37,30,9,29,28,30,24,3,0,28,26,9,1,27,19,2,30,23,27,29,0,0,34,27,7,15,23,16,7,7,1,7,19,6,0,27,37,2,27,24,35,37,18,0,0,37,26,23,29,29,6,0,4,23,1,34,34,3,23,28,30,23,29,9,32,23,27,24,12,18,35,1,23,32,18
