*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80
Native,college,standard,completed,0,Maggie Mccullough,48,17,17,17,48,50,17,17,48,48,20,50,11,50,48,11,32,11,32,48,48,38,48,17,17,50,50,50,11,48,48,50,11,48,11,17,50,17,50,11,48,48,17,50,17,50,20,38,48,48,48,50,32,17,50,11,11,48,20,48,11,17,50,11,50,20,50,48,48,48,48,11,48,50,32,48,38,48,50,48
Native,school,free/reduced,completed,1,Cloe Lester,11,11,38,48,32,48,11,48,17,17,48,20,17,11,20,17,11,50,11,20,50,17,17,48,50,20,48,48,48,50,11,17,48,11,48,48,11,48,48,48,32,11,32,17,32,11,48,32,17,11,11,48,11,11,48,48,48,11,50,11,32,48,11,48,48,48,20,32,32,11,50,50,17,20,17,17,11,17,48,38
Native,bachelor,free/reduced,none,2,Jasiah Nash,17,48,32,11,11,11,48,11,11,50,50,48,48,48,17,48,48,48,48,50,11,48,32,20,48,48,11,17,17,11,17,48,17,32,32,32,38,11,20,32,11,38,48,48,11,20,50,48,11,50,17,20,48,48,11,17,32,17,48,17,17,11,48,17,11,50,48,17,17,17,11,17,11,48,48,11,32,11,11,11
Black,master's,free/reduced,none,3,Ty Peck,38,32,59,32,17,17,38,7,50,32,17,32,38,17,50,32,7,17,7,11,32,32,38,50,11,11,20,54,32,38,32,20,32,17,17,11,48,32,11,17,38,32,11,32,38,48,32,11,38,17,38,11,17,7,17,38,17,20,17,32,41,7,17,32,20,17,17,38,11,38,17,48,7,11,38,7,48,7,17,16
Native,bachelor,standard,completed,4,Memphis Acosta,32,50,11,38,50,32,32,32,54,11,32,17,32,32,11,38,17,20,38,32,38,11,11,32,20,32,32,32,7,32,50,32,7,38,7,7,17,38,32,38,7,16,59,54,48,38,11,7,54,32,32,17,50,32,32,32,38,50,32,38,48,38,32,38,17,11,32,59,15,7,32,32,38,17,11,38,17,32,38,17
Native,associate,standard,none,5,Taylor Landry,7,54,48,7,38,38,7,38,7,38,11,11,7,54,38,7,38,38,17,17,17,59,16,11,59,17,17,11,38,17,20,11,38,7,38,38,32,7,17,7,17,17,15,11,59,17,17,17,50,38,59,32,7,38,38,7,7,38,11,7,38,32,38,7,32,32,11,11,38,32,38,7,32,32,16,32,7,38,32,32
Black,college,standard,none,6,Jaqueline Macias,15,20,15,15,59,7,16,59,38,59,38,38,58,20,59,16,16,15,16,59,54,15,41,38,32,38,38,59,16,54,7,15,16,59,59,15,7,59,7,15,15,7,7,7,16,32,38,16,20,54,41,38,54,16,54,16,59,59,7,59,59,15,7,15,38,38,59,16,59,59,54,59,59,15,59,41,59,16,59,7
White,associate,standard,none,7,Sophie Castro,16,38,16,16,20,54,15,16,32,7,7,15,59,7,7,15,15,7,59,7,7,41,15,7,15,59,7,7,15,7,54,38,15,15,15,59,54,16,38,59,16,59,38,38,7,7,7,41,7,7,15,7,38,59,7,15,15,7,59,15,16,16,54,59,7,7,38,41,7,16,7,20,15,38,41,59,41,59,54,15
Black,college,standard,none,8,Miriam Orozco,59,7,7,59,54,59,59,15,21,54,59,7,15,38,15,59,59,32,15,38,59,7,59,15,7,7,59,20,59,59,59,59,59,41,41,41,59,15,59,41,59,15,58,20,15,41,59,15,32,21,16,59,59,15,59,58,41,15,38,16,7,59,59,16,15,59,7,7,41,15,20,38,16,7,7,15,15,46,7,59
Native,school,free/reduced,none,9,Princess Barry,58,59,41,58,7,20,58,58,59,16,41,16,41,59,32,46,41,59,41,41,16,16,7,41,38,16,15,46,46,20,38,46,58,16,16,46,21,46,15,16,41,41,46,59,41,15,15,59,21,59,46,15,41,41,20,59,16,32,15,41,13,41,21,41,59,15,15,15,58,58,59,54,46,41,15,46,16,15,20,58
White,associate,standard,none,10,Johnny Kennedy,41,16,46,46,21,21,46,41,20,21,15,41,46,41,21,58,46,58,46,16,21,58,46,16,41,41,41,38,41,16,41,7,46,58,58,16,16,41,16,58,52,46,16,41,58,16,41,21,59,20,7,16,20,46,16,46,58,16,16,58,15,58,16,58,41,41,41,46,16,46,16,21,58,16,58,16,46,41,16,46
White,associate,standard,completed,11,Dustin Johnston,46,21,21,41,16,16,41,46,16,20,16,59,16,58,58,41,58,21,58,15,20,21,58,59,16,15,16,41,58,21,58,21,41,46,46,58,20,58,41,46,58,58,41,46,13,59,16,58,16,16,21,41,58,58,21,41,46,46,41,46,21,46,20,46,16,16,16,21,46,41,21,41,41,59,13,58,13,58,21,41
White,college,free/reduced,none,12,Levi Glover,13,41,58,21,58,46,52,21,13,58,58,46,13,21,16,13,13,41,13,46,58,46,52,58,46,46,58,58,21,41,16,16,52,13,21,52,46,21,58,21,13,21,13,21,52,13,58,52,46,46,13,58,21,13,46,52,13,21,46,21,58,21,41,13,46,46,46,13,47,52,46,16,13,58,21,21,52,21,58,52
Black,high school,standard,none,13,Brennen Hart,52,13,13,52,46,41,13,52,41,41,21,13,21,16,41,21,21,46,21,58,46,52,21,46,21,58,46,21,52,58,46,41,13,21,13,21,58,13,46,13,46,52,47,16,21,46,21,46,13,58,58,46,16,52,41,13,21,41,58,13,52,52,46,21,58,58,21,58,13,21,41,46,52,13,52,13,58,13,41,21
Native,high school,free/reduced,none,14,Jaden Dorsey,21,58,52,13,14,58,21,13,46,46,46,58,26,46,46,52,52,16,26,21,41,18,13,21,58,26,21,16,13,46,21,58,21,52,47,13,41,52,21,52,21,13,21,58,46,58,46,50,41,13,52,21,46,21,13,50,52,58,21,52,46,13,58,47,13,13,58,50,52,13,13,58,21,46,45,26,21,52,46,13
Black,master's,free/reduced,completed,15,Kayla Brewer,18,52,50,50,41,13,26,50,58,13,52,21,18,52,52,50,50,13,18,13,13,13,50,18,52,21,13,14,50,26,26,52,26,26,52,47,13,18,13,26,18,18,52,13,50,21,26,13,52,41,26,13,14,26,58,21,47,45,13,26,50,26,52,52,21,26,52,52,21,50,58,52,50,21,46,18,26,47,52,50
Black,associate,standard,none,16,Presley Lin,26,46,45,26,26,52,50,26,26,26,13,26,52,9,45,26,18,52,50,26,26,50,18,13,45,13,52,9,47,52,52,45,47,18,50,26,52,50,26,50,50,45,50,26,47,52,52,26,14,52,50,52,52,47,26,26,26,52,26,50,47,50,13,26,52,52,26,26,26,26,26,13,26,26,50,52,14,26,26,45
White,associate,free/reduced,completed,17,Tess Doyle,50,14,18,18,52,26,18,47,9,52,26,52,50,26,13,18,26,26,52,52,52,45,47,26,18,52,26,52,26,13,9,18,50,50,26,18,26,26,52,18,14,47,45,52,45,45,13,18,58,26,45,26,9,50,52,18,50,26,52,18,26,18,26,50,26,21,13,45,18,47,52,9,47,52,18,50,50,50,13,18
Black,school,standard,none,18,Darrell Tate,28,26,47,45,9,14,45,45,14,9,14,18,14,14,26,45,45,45,14,45,9,14,45,45,26,14,18,26,14,9,1,28,45,14,45,50,14,14,18,45,45,50,26,14,26,26,45,14,26,9,18,18,13,45,14,28,45,13,14,45,18,45,14,45,18,45,45,18,50,18,9,14,45,45,47,45,45,45,14,14
White,high school,standard,none,19,Nick Porter,14,9,14,14,13,9,28,14,52,14,18,45,5,13,18,28,49,18,28,14,1,26,26,49,13,18,45,13,45,14,14,13,14,45,18,45,1,28,45,14,26,26,18,9,18,18,18,45,2,14,5,45,2,14,9,45,18,18,45,14,45,14,1,18,45,14,14,14,45,45,14,26,14,14,26,14,18,14,9,26
Asian,high school,standard,none,20,Hadassah Valdez,45,1,26,28,1,1,14,18,2,2,45,28,45,49,5,14,14,9,45,18,14,1,49,52,14,45,14,18,18,1,13,26,18,28,28,14,9,45,14,28,1,14,9,18,14,49,14,49,9,1,14,14,26,18,1,14,28,9,18,28,9,28,9,28,14,18,18,49,28,28,1,1,18,18,9,49,1,18,1,47
Black,associate,standard,completed,21,Leon Bauer,5,18,28,49,2,2,9,49,18,1,28,9,49,1,28,49,5,5,9,49,2,28,28,14,49,49,28,49,28,2,4,9,28,49,14,28,49,5,28,49,5,28,14,1,49,9,49,28,1,2,1,28,4,49,2,5,14,49,9,49,5,49,49,14,28,28,49,1,49,49,2,4,49,9,14,5,9,9,49,9
White,school,free/reduced,none,22,Cheyenne Wade,9,49,5,5,4,18,49,28,49,49,49,14,9,18,14,5,28,28,5,28,49,5,5,9,28,28,9,2,9,49,2,14,49,5,9,49,2,49,49,5,9,9,49,2,9,14,28,5,49,49,9,49,1,28,18,49,9,14,28,9,28,5,18,9,49,49,9,28,14,14,49,49,28,28,5,9,5,49,2,5
Black,school,standard,none,23,Silas Bowen,49,2,9,9,49,49,5,9,1,18,9,49,28,4,9,9,9,49,49,9,18,9,14,28,9,9,49,4,49,18,18,49,9,9,49,9,18,9,9,9,28,49,28,49,28,28,9,9,18,18,28,9,49,9,49,9,49,5,49,5,14,9,2,49,9,9,28,9,9,9,18,18,9,49,28,28,49,28,18,28
White,college,standard,completed,24,Joel Terry,37,28,4,2,39,4,1,2,37,28,1,5,37,37,49,37,1,14,39,5,4,4,9,37,37,1,5,55,1,28,39,5,5,2,5,1,5,1,5,2,4,5,37,55,5,5,2,1,28,28,37,5,37,2,28,1,1,28,5,1,49,1,5,5,5,1,2,5,1,1,28,2,1,1,49,1,28,2,4,39
