*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R30,#R31,#R32,#R34,#R37,#R38,#R39,#R40,#R41,#R42,#R44,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R55,#R56,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R81,#R82,#R83
Native,college,standard,completed,0,Maggie Mccullough,48,17,17,17,48,50,17,17,48,48,20,50,11,50,48,11,32,11,32,48,48,38,48,17,17,50,50,50,48,48,50,48,50,17,50,11,48,48,50,50,20,38,48,48,48,50,32,50,11,48,20,48,11,17,50,11,50,20,50,48,58,11,9
Native,school,free/reduced,completed,1,Cloe Lester,11,11,38,48,32,48,11,48,17,17,48,20,17,11,20,17,11,50,11,20,50,17,17,48,50,20,48,48,50,11,17,11,11,48,48,48,32,11,17,11,48,32,17,11,11,48,11,48,48,11,50,11,32,48,11,48,48,48,20,32,13,48,54
Native,bachelor,free/reduced,none,2,Jasiah Nash,17,48,32,11,11,11,48,11,11,50,50,48,48,48,17,48,48,48,48,50,11,48,32,20,48,48,11,17,11,17,48,32,38,11,20,32,11,38,48,20,50,48,11,50,17,20,48,11,17,17,48,17,17,11,48,17,11,50,48,17,38,9,17
Black,master's,free/reduced,none,3,Ty Peck,38,32,59,32,17,17,38,7,50,32,17,32,38,17,50,32,7,17,7,11,32,32,38,50,11,11,20,54,38,32,20,17,48,32,11,17,38,32,32,48,32,11,38,17,38,11,17,17,38,20,17,32,41,7,17,32,20,17,17,38,21,10,16
Native,bachelor,standard,completed,4,Memphis Acosta,32,50,11,38,50,32,32,32,54,11,32,17,32,32,11,38,17,20,38,32,38,11,11,32,20,32,32,32,32,50,32,38,17,38,32,38,7,16,54,38,11,7,54,32,32,17,50,32,32,50,32,38,48,38,32,38,17,11,32,59,9,14,10
Native,associate,standard,none,5,Taylor Landry,7,54,48,7,38,38,7,38,7,38,11,11,7,54,38,7,38,38,17,17,17,59,16,11,59,17,17,11,17,20,11,7,32,7,17,7,17,17,11,17,17,17,50,38,59,32,7,38,7,38,11,7,38,32,38,7,32,32,11,11,59,2,2
Black,college,standard,none,6,Jaqueline Macias,15,20,15,15,59,7,16,59,38,59,38,38,58,20,59,16,16,15,16,59,54,15,41,38,32,38,38,59,54,7,15,59,7,59,7,15,15,7,7,32,38,16,20,54,41,38,54,54,16,59,7,59,59,15,7,15,38,38,59,16,35,52,52
White,associate,standard,none,7,Sophie Castro,16,38,16,16,20,54,15,16,32,7,7,15,59,7,7,15,15,7,59,7,7,41,15,7,15,59,7,7,7,54,38,15,54,16,38,59,16,59,38,7,7,41,7,7,15,7,38,7,15,7,59,15,16,16,54,59,7,7,38,41,29,4,49
Black,college,standard,none,8,Miriam Orozco,59,7,7,59,54,59,59,15,21,54,59,7,15,38,15,59,59,32,15,38,59,7,59,15,7,7,59,20,59,59,59,41,59,15,59,41,59,15,20,41,59,15,32,21,16,59,59,59,58,15,38,16,7,59,59,16,15,59,7,7,45,49,41
Native,school,free/reduced,none,9,Princess Barry,58,59,41,58,7,20,58,58,59,16,41,16,41,59,32,46,41,59,41,41,16,16,7,41,38,16,15,46,20,38,46,16,21,46,15,16,41,41,59,15,15,59,21,59,46,15,41,20,59,32,15,41,13,41,21,41,59,15,15,15,37,17,47
White,associate,standard,none,10,Johnny Kennedy,41,16,46,46,21,21,46,41,20,21,15,41,46,41,21,58,46,58,46,16,21,58,46,16,41,41,41,38,16,41,7,58,16,41,16,58,52,46,41,16,41,21,59,20,7,16,20,16,46,16,16,58,15,58,16,58,41,41,41,46,46,41,38
White,associate,standard,completed,11,Dustin Johnston,46,21,21,41,16,16,41,46,16,20,16,59,16,58,58,41,58,21,58,15,20,21,58,59,16,15,16,41,21,58,21,46,20,58,41,46,58,58,46,59,16,58,16,16,21,41,58,21,41,46,41,46,21,46,20,46,16,16,16,21,4,16,21
White,college,free/reduced,none,12,Levi Glover,13,41,58,21,58,46,52,21,13,58,58,46,13,21,16,13,13,41,13,46,58,46,52,58,46,46,58,58,41,16,16,13,46,21,58,21,13,21,21,13,58,52,46,46,13,58,21,46,52,21,46,21,58,21,41,13,46,46,46,13,41,21,4
Black,high school,standard,none,13,Brennen Hart,52,13,13,52,46,41,13,52,41,41,21,13,21,16,41,21,21,46,21,58,46,52,21,46,21,58,46,21,58,46,41,21,58,13,46,13,46,52,16,46,21,46,13,58,58,46,16,41,13,41,58,13,52,52,46,21,58,58,21,58,42,54,46
Native,high school,free/reduced,none,14,Jaden Dorsey,21,58,52,13,14,58,21,13,46,46,46,58,26,46,46,52,52,16,26,21,41,18,13,21,58,26,21,16,46,21,58,52,41,52,21,52,21,13,58,58,46,50,41,13,52,21,46,13,50,58,21,52,46,13,58,47,13,13,58,50,55,38,11
Black,master's,free/reduced,completed,15,Kayla Brewer,18,52,50,50,41,13,26,50,58,13,52,21,18,52,52,50,50,13,18,13,13,13,50,18,52,21,13,14,26,26,52,26,13,18,13,26,18,18,13,21,26,13,52,41,26,13,14,58,21,45,13,26,50,26,52,52,21,26,52,52,26,47,48
Black,associate,standard,none,16,Presley Lin,26,46,45,26,26,52,50,26,26,26,13,26,52,9,45,26,18,52,50,26,26,50,18,13,45,13,52,9,52,52,45,18,52,50,26,50,50,45,26,52,52,26,14,52,50,52,52,26,26,52,26,50,47,50,13,26,52,52,26,26,14,46,7
White,associate,free/reduced,completed,17,Tess Doyle,50,14,18,18,52,26,18,47,9,52,26,52,50,26,13,18,26,26,52,52,52,45,47,26,18,52,26,52,13,9,18,50,26,26,52,18,14,47,52,45,13,18,58,26,45,26,9,52,18,26,52,18,26,18,26,50,26,21,13,45,23,7,59
Black,school,standard,none,18,Darrell Tate,28,26,47,45,9,14,45,45,14,9,14,18,14,14,26,45,45,45,14,45,9,14,45,45,26,14,18,26,9,1,28,14,14,14,18,45,45,50,14,26,45,14,26,9,18,18,13,14,28,13,14,45,18,45,14,45,18,45,45,18,2,59,13
White,high school,standard,none,19,Nick Porter,14,9,14,14,13,9,28,14,52,14,18,45,5,13,18,28,49,18,28,14,1,26,26,49,13,18,45,13,14,14,13,45,1,28,45,14,26,26,9,18,18,45,2,14,5,45,2,9,45,18,45,14,45,14,1,18,45,14,14,14,56,13,26
Asian,high school,standard,none,20,Hadassah Valdez,45,1,26,28,1,1,14,18,2,2,45,28,45,49,5,14,14,9,45,18,14,1,49,52,14,45,14,18,1,13,26,28,9,45,14,28,1,14,18,49,14,49,9,1,14,14,26,1,14,9,18,28,9,28,9,28,14,18,18,49,54,26,32
Black,associate,standard,completed,21,Leon Bauer,5,18,28,49,2,2,9,49,18,1,28,9,49,1,28,49,5,5,9,49,2,28,28,14,49,49,28,49,2,4,9,49,49,5,28,49,5,28,1,9,49,28,1,2,1,28,4,2,5,49,9,49,5,49,49,14,28,28,49,1,18,32,37
White,school,free/reduced,none,22,Cheyenne Wade,9,49,5,5,4,18,49,28,49,49,49,14,9,18,14,5,28,28,5,28,49,5,5,9,28,28,9,2,49,2,14,5,2,49,49,5,9,9,2,14,28,5,49,49,9,49,1,18,49,14,28,9,28,5,18,9,49,49,9,28,31,37,28
Black,school,standard,none,23,Silas Bowen,49,2,9,9,49,49,5,9,1,18,9,49,28,4,9,9,9,49,49,9,18,9,14,28,9,9,49,4,18,18,49,9,18,9,9,9,28,49,49,28,9,9,18,18,28,9,49,49,9,5,49,5,14,9,2,49,9,9,28,9,49,28,5
White,college,standard,completed,24,Joel Terry,37,28,4,2,39,4,1,2,37,28,1,5,37,37,49,37,1,14,39,5,4,4,9,37,37,1,5,55,28,39,5,2,5,1,5,2,4,5,55,5,2,1,28,28,37,5,37,28,1,28,5,1,49,1,5,5,5,1,2,5,5,5,20
White,high school,free/reduced,none,25,Lance Ramsey,1,5,49,37,18,28,2,1,28,4,2,2,2,55,1,2,39,2,1,2,28,49,37,39,5,2,1,1,4,49,2,1,4,37,1,1,49,37,4,37,1,37,5,5,2,1,18,4,37,2,2,2,37,2,4,1,1,2,5,55,47,20,23
Black,associate,free/reduced,none,26,Micheal Mcclain,2,4,37,1,37,5,37,5,4,37,5,1,39,2,39,1,2,4,2,1,5,2,1,5,2,5,2,37,5,37,4,39,55,2,2,39,39,1,28,1,5,2,37,4,49,2,55,37,2,37,1,37,2,37,28,37,2,5,1,4,0,23,45
White,college,standard,completed,27,Emilee Larsen,55,37,2,39,55,37,39,39,5,39,39,39,1,39,37,39,4,37,37,39,55,37,4,4,4,39,37,28,55,28,1,37,28,4,37,37,2,2,5,2,37,4,23,37,39,37,28,5,55,39,4,39,39,55,39,2,37,39,39,2,28,45,0
Native,college,standard,none,28,Yael Gordon,39,45,39,55,28,55,55,4,39,55,37,37,22,5,4,55,37,1,55,4,39,55,39,2,39,37,39,5,37,55,37,4,39,55,39,4,55,4,37,55,39,55,4,55,4,39,39,55,4,1,39,4,4,4,55,4,39,37,4,37,39,0,35
White,high school,standard,none,29,Alina Grant,4,23,1,4,5,39,4,37,55,5,4,4,4,28,2,4,55,39,4,37,37,39,2,1,1,4,4,39,39,5,39,55,37,39,4,55,37,39,39,39,4,39,45,39,55,4,5,39,39,4,37,55,1,39,37,39,4,4,37,39,52,35,1
White,college,standard,none,30,Agustin Holt,22,55,53,23,0,45,35,55,23,23,27,23,53,35,27,23,22,53,22,55,23,23,22,55,35,23,55,35,45,45,27,23,35,22,55,23,53,23,0,4,23,53,35,35,35,55,23,45,22,23,27,22,35,35,23,22,27,23,27,23,53,1,53
Black,high school,free/reduced,none,31,Ryland West,23,0,55,35,23,23,23,22,45,53,55,27,23,45,55,35,53,35,35,27,45,0,55,53,27,27,27,45,23,23,35,22,23,23,27,22,22,53,45,27,55,0,55,23,0,27,45,23,23,55,23,23,55,23,45,55,55,55,23,22,34,53,58
White,college,free/reduced,completed,32,Yaritza Fox,35,39,23,22,35,35,22,23,53,45,23,55,55,0,23,22,23,27,23,23,35,35,53,35,55,55,23,0,35,35,55,35,45,35,23,53,23,22,35,53,27,23,39,27,22,23,0,35,0,53,55,35,53,22,35,23,23,27,55,0,44,58,25
White,high school,free/reduced,none,33,Riya Middleton,0,27,35,34,53,53,53,0,0,27,35,53,35,27,53,34,0,23,34,35,27,53,23,34,53,53,35,34,53,53,23,53,53,0,35,35,0,35,23,0,53,35,27,45,23,35,35,53,35,35,35,53,20,53,0,35,35,0,35,53,27,25,39
Black,master's,free/reduced,completed,34,Hassan Foley,53,35,56,0,56,0,34,35,35,0,0,35,0,53,35,53,35,55,0,0,53,20,35,23,23,0,0,23,0,56,53,34,27,53,53,34,40,0,53,35,35,40,0,53,56,53,53,0,34,27,53,0,22,34,27,53,0,53,0,20,7,18,12
White,college,free/reduced,none,35,Maci Huber,34,53,22,53,45,27,0,53,27,35,53,0,34,23,34,0,34,56,53,53,0,22,0,27,56,35,53,53,27,0,25,0,0,34,0,0,35,55,40,23,0,22,53,0,53,0,25,27,53,25,0,34,23,0,53,0,53,35,53,35,11,55,6
Black,associate,free/reduced,none,36,Phoenix Fuentes,56,40,40,20,34,34,40,56,40,25,34,25,47,25,25,40,47,40,56,34,40,47,34,40,40,40,56,27,56,34,56,40,56,56,34,40,47,20,27,56,56,56,25,56,40,34,56,34,56,34,40,56,56,20,56,34,34,34,56,34,50,56,27
Native,associate,standard,none,37,Delaney Moon,40,34,20,40,25,56,56,34,56,34,56,34,56,34,40,56,40,25,40,40,34,34,56,0,25,56,34,25,34,27,0,56,40,40,56,56,56,34,56,40,34,34,34,40,34,56,27,56,20,40,34,40,0,56,34,56,56,40,40,56,30,39,50
White,associate,standard,none,38,Esmeralda Cooley,20,25,34,56,27,40,20,40,25,56,40,56,20,40,0,20,56,34,20,56,56,40,40,56,34,57,25,40,40,40,40,47,57,20,40,47,34,56,34,34,40,47,56,34,47,40,34,40,40,56,56,20,34,40,40,20,40,56,34,40,48,24,34
Native,college,standard,completed,39,Areli Marks,57,6,3,25,40,25,25,25,34,36,36,36,40,6,56,57,25,0,25,25,36,56,20,25,0,34,40,3,25,51,34,20,34,57,25,20,20,40,25,25,25,20,40,25,20,25,40,25,47,0,25,47,3,57,36,40,25,36,36,47,22,50,51
Native,associate,free/reduced,none,40,Raul Strong,47,36,6,47,51,57,57,57,36,57,57,57,25,56,57,47,20,3,47,57,25,3,36,51,3,36,36,56,36,25,36,25,25,25,57,57,36,57,6,3,57,36,3,36,3,57,57,36,25,36,36,25,40,47,25,25,36,57,25,25,25,27,31
Black,high school,standard,none,41,Rebecca Morse,25,56,0,57,6,36,47,20,3,40,25,40,57,51,6,25,57,6,57,36,57,25,3,57,51,25,57,51,57,36,3,57,36,47,36,25,25,36,3,57,36,6,6,57,6,36,6,57,57,6,57,57,25,25,57,57,57,25,57,6,32,29,43
Black,school,free/reduced,completed,42,Laurel Brewer,3,3,57,36,3,3,3,36,57,51,3,6,3,3,51,36,36,57,36,51,51,6,25,6,36,3,6,36,3,6,51,3,6,3,6,36,57,25,51,6,51,57,36,3,36,3,3,6,3,3,3,36,57,3,51,36,6,3,6,36,33,31,14
White,high school,free/reduced,completed,43,Rosemary Phelps,36,57,25,6,57,6,36,3,6,3,51,3,6,57,3,6,3,36,3,6,6,57,6,3,57,51,3,6,6,3,6,36,51,36,3,3,3,6,57,36,6,25,30,51,25,6,36,3,6,51,6,3,6,36,6,3,3,6,3,3,40,12,55
White,school,standard,none,44,Noemi Reilly,6,33,36,3,22,51,6,6,33,6,6,51,36,36,36,3,6,51,6,3,3,33,57,36,6,30,51,57,51,57,57,6,3,6,51,51,30,3,33,22,3,27,57,6,57,51,51,51,36,57,51,6,36,6,3,51,51,51,51,57,16,34,24
Native,school,standard,none,45,Lucia Sparks,27,22,51,33,36,22,27,51,30,22,22,33,27,33,43,33,33,30,33,22,33,36,33,44,33,6,22,43,22,33,33,51,22,33,22,6,6,43,36,51,33,3,51,22,33,22,43,22,33,22,30,51,33,33,22,6,22,30,30,51,57,40,18
